,created,lat,lon,x,y,epa_pm25_value,ndvi,wind_x,wind_y,elevation,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,neighbor_10,neighbor_11,neighbor_12,neighbor_13,neighbor_14,neighbor_15,neighbor_16,neighbor_17,neighbor_18,neighbor_19,neighbor_20,neighbor_21,neighbor_22,neighbor_23,temperature,humidity
0,201909010000,37.824435864921405,-122.5347392117897,0,34,5.1,-2000,1.2155372436685097,-6.893654271085457,17,4.41,1.45,,,3.72,2.24,22.97,,,3.14,,,2.91,2.97,4.3,,,,,,,,,,80.5,49.0
1,201909010000,37.82798364685624,-122.5347392117897,0,35,5.1,-2000,1.2155372436685097,-6.893654271085457,0,4.41,1.45,,,3.72,3.14,2.24,22.97,,,,,2.91,,2.97,4.3,,,,,,,,,80.5,49.0
2,201909010000,37.83153125822582,-122.5347392117897,0,36,5.1,-2000,1.2155372436685097,-6.893654271085457,0,4.41,1.45,,,3.72,3.14,2.24,,22.97,,,,2.91,,,2.97,,4.3,,,,,,5.42,80.5,49.0
3,201909010000,37.83507869902475,-122.5347392117897,0,37,5.1,5159,1.2155372436685097,-6.893654271085457,55,4.41,1.45,,,3.72,3.14,,2.24,,22.97,,,,,2.91,,,,2.97,5.42,4.3,,,,80.5,49.0
4,201909010000,37.838625969247616,-122.5347392117897,0,38,5.1,7053,1.2155372436685097,-6.893654271085457,132,4.41,1.45,3.72,,,3.14,,,,2.24,,,22.97,,,5.42,2.91,,,,2.97,,2.62,4.3,84.0,45.0
5,201909010000,37.84217306888904,-122.5347392117897,0,39,5.1,7053,1.2155372436685097,-6.893654271085457,220,4.41,3.72,1.45,,,3.14,,,,,,5.42,2.24,,22.97,,,2.91,,2.62,8.84,3.88,0.89,,84.0,45.0
6,201909010000,37.84571999794363,-122.5347392117897,0,40,5.1,7506,1.2155372436685097,-6.893654271085457,150,4.41,3.72,1.45,3.14,,,,,,,5.42,,,2.62,8.84,2.24,3.88,0.89,,22.97,,,2.91,,84.0,45.0
7,201909010000,37.84926675640598,-122.5347392117897,0,41,5.1,6457,1.2155372436685097,-6.893654271085457,65,4.41,3.72,3.14,1.45,,,,,,,5.42,,,2.62,8.84,3.88,0.89,,2.24,,4.62,,3.48,22.97,83.0,47.333333333333336
8,201909010000,37.85281334427072,-122.5347392117897,0,42,5.1,6457,1.2155372436685097,-6.893654271085457,111,4.41,3.72,3.14,1.45,,,,,,,5.42,,,2.62,8.84,3.88,0.89,,,3.48,4.62,2.24,,,83.0,47.333333333333336
9,201909010000,37.85635976153246,-122.5347392117897,0,43,5.1,7069,1.2155372436685097,-6.893654271085457,114,3.72,3.14,4.41,1.45,,,,,,,5.42,,2.62,,8.84,3.88,0.89,,,3.48,4.62,,,,83.0,47.333333333333336
10,201909010000,37.85990600818583,-122.5347392117897,0,44,5.1,5462,1.2155372436685097,-6.893654271085457,68,3.72,3.14,4.41,,1.45,,,,,,5.42,,2.62,3.88,8.84,,0.89,,,3.48,,,,4.62,83.0,47.333333333333336
11,201909010000,37.863452084225436,-122.5347392117897,0,45,5.1,5462,1.2155372436685097,-6.893654271085457,73,3.72,3.14,,1.45,4.41,,,,,,5.42,3.88,2.62,8.84,,0.89,,,,3.48,,,,1.95,84.5,45.0
12,201909010000,37.86699798964593,-122.5347392117897,0,46,5.1,8542,1.2155372436685097,-6.893654271085457,120,3.72,3.14,,1.45,,,4.41,,,,5.42,3.88,2.62,8.84,,0.89,,,,3.48,,,,2.56,84.5,45.0
13,201909010000,37.87054372444192,-122.5347392117897,0,47,5.1,7460,1.2155372436685097,-6.893654271085457,150,3.72,3.14,,,,1.45,,5.42,,,4.41,3.88,2.62,,8.84,0.89,,,,3.48,,,,2.56,84.5,45.0
14,201909010000,37.87408928860804,-122.5347392117897,0,48,5.1,7460,1.2155372436685097,-6.893654271085457,128,3.72,3.14,,,,,5.42,1.45,,,4.41,3.88,,2.62,8.84,0.89,,,3.48,,,,,2.56,84.5,45.0
15,201909010000,37.87763468213893,-122.5347392117897,0,49,5.1,7251,1.2155372436685097,-6.893654271085457,34,3.72,3.14,,,,,5.42,1.45,,3.88,,,2.62,8.84,0.89,,4.41,3.48,,,,,,2.56,84.5,45.0
16,201909010000,37.88117990502924,-122.5347392117897,0,50,5.1,7251,1.2155372436685097,-6.893654271085457,17,3.72,,3.14,,,,5.42,,1.45,3.88,,2.62,0.89,8.84,3.48,,,,,,4.41,,2.56,,84.5,45.0
17,201909010000,37.884724957273576,-122.5347392117897,0,51,5.1,6504,1.2155372436685097,-6.893654271085457,82,,3.72,3.14,,,,5.42,,3.88,,2.62,0.89,8.84,3.48,1.45,,,,,,2.56,,4.41,,84.5,45.0
18,201909010000,37.88826983886661,-122.5347392117897,0,52,5.1,7183,1.2155372436685097,-6.893654271085457,85,,,3.14,3.72,,5.42,,,3.88,,3.48,2.62,0.89,8.84,,,1.45,,2.56,,,,1.95,,78.0,53.0
19,201909010000,37.89181454980297,-122.5347392117897,0,53,5.1,7183,1.2155372436685097,-6.893654271085457,72,,,,5.42,3.14,,3.72,,,3.88,3.48,2.62,0.89,8.84,,,2.56,,1.45,,,,1.95,,,
20,201909010000,37.895359090077335,-122.5347392117897,0,54,5.1,7536,1.2155372436685097,-6.893654271085457,15,,,,5.42,,3.14,3.72,,,3.88,3.48,0.89,2.62,,,8.84,2.56,,,1.45,1.95,,,,,
